galaxy,x,y,mag,re,ar,pa
NGC_5846,573.0753173828125,573.1847534179688,10.649897575378418,69.27333068847656,0.8508338332176208,-36.190738677978516
NGC_5576,573.1783447265625,573.752685546875,10.935478210449219,36.1053466796875,0.5981297492980957,5.936097145080566
NGC_4623,571.868896484375,574.25341796875,12.125389099121094,53.38105773925781,0.3305540680885315,85.2405776977539
NGC_3245,566.9859619140625,569.9439697265625,10.90493392944336,47.35793685913086,0.46016719937324524,86.41253662109375
NGC_4762,572.0880737304688,568.8040771484375,10.308531761169434,92.56635284423828,0.1599859744310379,-59.10101318359375
NGC_4378,573.7654418945312,568.9336547851562,11.600295066833496,40.73330307006836,0.7616192102432251,75.45846557617188
NGC_4814,568.775634765625,566.648193359375,11.912827491760254,54.629024505615234,0.5300363898277283,25.990665435791016
NGC_3938,956.5947875976562,968.0872802734375,10.161188125610352,205.66952514648438,0.8821431994438171,-52.95613479614258
