galaxy,gini,m20,concentration,asymmetry,smoothness,rpetro_circ,rpetro_ellip,rhalf_circ,rhalf_ellip,sersic_n,sersic_rhalf,xc_centroid,yc_centroid,ellipticity_centroid,orientation_centroid,flag,flag_sersic
NGC_3245,0.5834707387431425,-2.5769702442733244,4.611880646523289,0.058694179851206306,0.006684339401122578,165.91078488059597,228.6018642937851,68.74701030011208,94.44563012588902,4.499143996353312,117.58595962102743,566.0027653530921,568.3613503207672,0.5187078769202245,1.5047008030043976,0,0
NGC_3938,0.5249227439631827,-1.18416138306368,3.006211198935093,0.2637522934461015,0.07442430643510911,514.546685095801,545.2754891400134,235.42108381716994,250.5270658854412,1.8657923304593884,283.973241636147,956.3893558846313,967.1123768976408,0.11167669673340208,-0.9103844974368146,1,0
NGC_4378,0.5997822855139906,-2.5095470993716327,4.40631476411165,0.022567839169432242,0.005330693022536264,168.22681926676213,194.26365677669105,80.54346987794902,90.93654500383509,4.769068219086108,126.2027955820205,572.2400853449002,566.5572481652467,0.23220066849358967,1.3735988107367203,1,0
NGC_4623,0.6241018111831487,-2.141594748320243,3.8666766315214507,0.03752953131209468,0.034721564463743186,144.5747289226875,245.1902375602058,62.28799523803143,91.95773212650992,2.3537734324426363,98.01331804192017,570.7477252967462,572.8721956416606,0.6627636251997052,1.4863699412897782,0,0
NGC_4762,0.6663407309066768,-2.5609393947700787,4.892271909158086,0.20267889951255144,0.2502586814946594,353.0652999794912,442.29437511782123,154.46227141614276,200.02195218510184,2.4665951546999496,265.27598253550946,570.2268919213058,569.6239113498212,0.8203857175231956,-1.0331624877868482,1,0
NGC_4814,0.5431068377211777,-2.026008644024282,3.1413012506331177,0.14864036222811766,0.026998311106254964,133.99285734278467,193.07690764512083,71.4905253875072,95.08309238695709,1.8247587209635783,85.55452266194574,565.8794913754082,564.9666601454242,0.4550499009501935,0.4398611698672934,1,0
NGC_5576,0.6327068875393426,-2.628293613656171,4.865678981157739,0.026881240615899988,0.00036391305490550847,168.26404041892482,214.12230148118377,85.46657278939442,108.26400393857806,6.4579776390145405,141.35966682840527,572.4248267158401,574.5458694871145,0.39142945705386634,0.11829086157328725,1,0
NGC_5846,0.5946547468418281,-2.2297117689537798,4.064253108665604,0.04100647336412634,0.02332902908037729,396.74346261752146,426.0525264395026,141.998837619543,151.37244331635736,3.3037517428037173,202.75116328878443,568.873818873569,580.5439622450923,0.128499334042653,-0.37116527586519144,0,0
