galaxy,gini,m20,concentration,asymmetry,smoothness
NGC_3245,0.5834707387431425,-2.5769702442733244,4.611880646523289,0.0586941798512063,0.0066843394011225
NGC_3938,0.5249227439631827,-1.18416138306368,3.006211198935093,0.2637522934461015,0.0744243064351091
NGC_4378,0.5997822855139906,-2.5095470993716327,4.40631476411165,0.0225678391694322,0.0053306930225362
NGC_4623,0.6241018111831487,-2.141594748320243,3.8666766315214502,0.0375295313120946,0.0347215644637431
NGC_4762,0.6663407309066768,-2.5609393947700787,4.892271909158086,0.2026788995125514,0.2502586814946594
NGC_4814,0.5431068377211777,-2.026008644024282,3.1413012506331177,0.1486403622281176,0.0269983111062549
NGC_5576,0.6327068875393426,-2.628293613656171,4.865678981157739,0.0268812406158999,0.0003639130549055
NGC_5846,0.5946547468418281,-2.22971176895378,4.064253108665604,0.0410064733641263,0.0233290290803772
