--- Brightest Objects within 900.0px of (571.5, 571.5) ---
ID    X          Y          Mag        Dist      
1     573.08     573.18     10.65      2.31      
2     578.11     426.85     12.99      144.80    
3     1119.54    635.99     13.94      551.82    
4     145.43     104.92     15.72      631.85    
5     41.96      782.50     16.01      570.04    
6     952.12     256.34     16.46      494.16    
7     109.82     216.70     16.74      582.27    
8     122.62     788.81     17.37      498.72    
9     272.02     1105.48    17.86      612.23    
10    997.92     57.68      17.89      667.72    
